xaxis;amplitud
-0,000305;1,15001E+12
-0,000303;1,15001E+12
-0,0003;1,15001E+12
-0,000298;1,69675E+12
-0,000295;1,69675E+12
-0,000293;2,24348E+12
-0,00029;2,24348E+12
-0,000288;2,79021E+12
-0,000285;2,79021E+12
-0,000283;2,79021E+12
-0,00028;3,33695E+12
-0,000278;3,88368E+12
-0,000275;3,88368E+12
-0,000273;4,43041E+12
-0,00027;3,88368E+12
-0,000268;3,88368E+12
-0,000265;4,97715E+12
-0,000263;5,52388E+12
-0,00026;5,52388E+12
-0,000258;4,97715E+12
-0,000255;5,52388E+12
-0,000253;6,07062E+12
-0,00025;6,07062E+12
-0,000248;6,07062E+12
-0,000245;7,16408E+12
-0,000243;7,71082E+12
-0,00024;7,71082E+12
-0,000238;7,71082E+12
-0,000235;7,71082E+12
-0,000233;8,25755E+12
-0,00023;8,25755E+12
-0,000228;8,80428E+12
-0,000225;8,80428E+12
-0,000223;8,80428E+12
-0,00022;9,35102E+12
-0,000218;8,80428E+12
-0,000215;9,89775E+12
-0,000213;9,89775E+12
-0,00021;1,04445E+13
-0,000208;1,04445E+13
-0,000205;1,09912E+13
-0,000203;1,04445E+13
-0,0002;1,09912E+13
-0,000198;1,1538E+13
-0,000195;1,1538E+13
-0,000193;1,20847E+13
-0,00019;1,20847E+13
-0,000188;1,26314E+13
-0,000185;1,26314E+13
-0,000183;1,31782E+13
-0,00018;1,37249E+13
-0,000178;1,31782E+13
-0,000175;1,37249E+13
-0,000173;1,37249E+13
-0,00017;1,37249E+13
-0,000168;1,42716E+13
-0,000165;1,42716E+13
-0,000163;1,48184E+13
-0,00016;1,48184E+13
-0,000158;1,48184E+13
-0,000155;1,53651E+13
-0,000153;1,64586E+13
-0,00015;1,53651E+13
-0,000148;1,53651E+13
-0,000145;1,64586E+13
-0,000143;1,64586E+13
-0,00014;1,64586E+13
-0,000138;1,64586E+13
-0,000135;1,70053E+13
-0,000133;1,64586E+13
-0,00013;1,7552E+13
-0,000128;1,70053E+13
-0,000125;1,7552E+13
-0,000123;1,80988E+13
-0,00012;1,80988E+13
-0,000118;1,86455E+13
-0,000115;1,80988E+13
-0,000113;1,86455E+13
-0,00011;1,86455E+13
-0,000108;1,86455E+13
-0,000105;1,91922E+13
-0,000103;1,9739E+13
-0,0001;1,9739E+13
-0,000098;1,9739E+13
-0,000095;2,02857E+13
-0,000093;2,02857E+13
-0,00009;2,08324E+13
-0,000088;2,02857E+13
-0,000085;2,08324E+13
-0,000083;2,08324E+13
-0,00008;2,08324E+13
-0,000078;2,13792E+13
-0,000075;2,08324E+13
-0,000073;2,13792E+13
-0,00007;2,13792E+13
-0,000068;2,19259E+13
-0,000065;2,24726E+13
-0,000063;2,24726E+13
-0,00006;2,24726E+13
-0,000058;2,24726E+13
-0,000055;2,24726E+13
-0,000053;2,30194E+13
-0,00005;2,30194E+13
-0,000048;2,35661E+13
-0,000045;2,35661E+13
-0,000043;2,30194E+13
-0,00004;2,41128E+13
-0,000038;2,41128E+13
-0,000035;2,41128E+13
-0,000033;2,46596E+13
-0,00003;2,41128E+13
-0,000028;2,46596E+13
-0,000025;2,52063E+13
-0,000023;2,46596E+13
-0,00002;2,52063E+13
-0,000018;2,46596E+13
-0,000015;2,52063E+13
-0,000013;2,52063E+13
-0,00001;2,5753E+13
-0,000008;2,5753E+13
-0,000005;2,5753E+13
-0,000003;2,5753E+13
0;2,62998E+13
0,000003;2,62998E+13
0,000005;2,62998E+13
0,000008;2,62998E+13
0,00001;2,62998E+13
0,000013;2,68465E+13
0,000015;2,62998E+13
0,000018;2,68465E+13
0,00002;2,73932E+13
0,000023;2,73932E+13
0,000025;2,73932E+13
0,000028;2,68465E+13
0,00003;2,73932E+13
0,000033;2,794E+13
0,000035;2,794E+13
0,000038;2,794E+13
0,00004;2,84867E+13
0,000043;2,84867E+13
0,000045;2,90334E+13
0,000048;2,84867E+13
0,00005;2,84867E+13
0,000053;2,95802E+13
0,000055;2,95802E+13
0,000058;2,95802E+13
0,00006;2,90334E+13
0,000063;2,95802E+13
0,000065;2,90334E+13
0,000068;2,95802E+13
0,00007;3,01269E+13
0,000073;2,95802E+13
0,000075;3,01269E+13
0,000078;3,01269E+13
0,00008;3,06736E+13
0,000083;3,06736E+13
0,000085;3,01269E+13
0,000088;3,06736E+13
0,00009;3,06736E+13
0,000093;3,12204E+13
0,000095;3,12204E+13
0,000098;3,06736E+13
0,0001;3,12204E+13
0,000103;3,12204E+13
0,000105;3,12204E+13
0,000108;3,17671E+13
0,00011;3,17671E+13
0,000113;3,17671E+13
0,000115;3,17671E+13
0,000118;3,17671E+13
0,00012;3,17671E+13
0,000123;3,23138E+13
0,000125;3,23138E+13
0,000128;3,23138E+13
0,00013;3,23138E+13
0,000133;3,28606E+13
0,000135;3,34073E+13
0,000138;3,28606E+13
0,00014;3,34073E+13
0,000143;3,28606E+13
0,000145;3,34073E+13
0,000148;3,34073E+13
0,00015;3,34073E+13
0,000153;3,34073E+13
0,000155;3,34073E+13
0,000158;3,3954E+13
0,00016;3,3954E+13
0,000163;3,3954E+13
0,000165;3,3954E+13
0,000168;3,3954E+13
0,00017;3,45008E+13
0,000173;3,3954E+13
0,000175;3,45008E+13
0,000178;3,3954E+13
0,00018;3,45008E+13
0,000183;3,45008E+13
0,000185;3,45008E+13
0,000188;3,45008E+13
0,00019;3,50475E+13
0,000193;3,45008E+13
0,000195;3,50475E+13
0,000198;3,50475E+13
0,0002;3,50475E+13
0,000203;3,50475E+13
0,000205;3,50475E+13
0,000208;3,55942E+13
0,00021;3,55942E+13
0,000213;3,55942E+13
0,000215;3,55942E+13
0,000218;3,55942E+13
0,00022;3,6141E+13
0,000223;3,55942E+13
0,000225;3,6141E+13
0,000228;3,6141E+13
0,00023;3,6141E+13
0,000233;3,6141E+13
0,000235;3,6141E+13
0,000238;3,66877E+13
0,00024;3,66877E+13
0,000243;3,66877E+13
0,000245;3,66877E+13
