,"Actual",,"Model"
"Time","Value","Time","Value"
14.9,93.72117,14.9,0.0
14.91,93.82681,14.91,0.0
14.92,93.6575,14.92,0.0
14.929999,93.70332,14.929999,0.0
14.94,93.61633,14.94,0.0
14.95,93.689606,14.95,0.0
14.96,93.71403,14.96,0.0
14.969999,93.82443,14.969999,0.0
14.98,93.75897,14.98,0.0
14.99,93.73715,14.99,0.0
15.0,93.62761,15.0,0.0
15.009999,93.69336,15.009999,0.0
15.0199995,93.613014,15.0199995,0.0
15.03,93.6885,15.03,0.0
15.04,93.815926,15.04,0.0
15.049999,93.756134,15.049999,0.0
15.059999,93.736206,15.059999,0.0
15.07,93.72956,15.07,0.0
15.08,93.72735,15.08,0.0
15.089999,93.624344,15.089999,0.0
15.099999,93.692276,15.099999,0.0
15.11,93.71492,15.11,0.0
15.12,93.722466,15.12,0.0
15.13,93.62272,15.13,0.0
15.139999,93.691734,15.139999,0.0
15.15,93.71474,15.15,0.0
15.16,93.722404,15.16,0.0
15.17,93.827225,15.17,0.0
15.179999,93.86217,15.179999,0.0
15.19,93.771545,15.19,0.0
15.2,93.74134,15.2,0.0
15.21,93.73127,15.21,0.0
15.219999,93.72791,15.219999,0.0
15.23,93.7268,15.23,0.0
15.24,93.82869,15.24,0.0
15.25,93.76039,15.25,0.0
15.259999,93.737625,15.259999,0.0
15.2699995,93.730034,15.2699995,0.0
15.28,93.829765,15.28,0.0
15.29,93.76075,15.29,0.0
15.299999,93.942276,15.299999,0.0
15.309999,93.79825,15.309999,0.0
15.32,93.750244,15.32,0.0
15.33,93.73424,15.33,0.0
15.339999,90.96774,15.339999,0.0
15.349999,84.727776,15.349999,0.0
15.36,78.14811,15.36,0.0
15.37,71.96654,15.37,0.0
15.38,66.22446,15.38,0.0
15.389999,60.83341,15.389999,0.0
15.4,56.070694,15.4,0.0
15.41,51.721954,15.41,0.0
15.42,48.1248,15.42,0.0
15.429999,44.77818,15.429999,0.0
15.44,42.02639,15.44,0.0
15.45,39.47288,15.45,0.0
15.46,37.189995,15.46,0.0
15.469999,35.099586,15.469999,0.0
15.48,33.1756,15.48,0.0
15.49,31.409346,15.49,0.0
15.5,29.900208,15.5,0.0
15.509999,28.681305,15.509999,0.0
15.5199995,27.45688,15.5199995,0.0
15.53,26.332882,15.53,0.0
15.54,25.344622,15.54,0.0
15.549999,24.503876,15.549999,0.0
15.559999,23.7123,15.559999,0.0
15.57,23.03938,15.57,0.0
15.58,22.508276,15.58,0.0
15.589999,21.92218,15.589999,0.0
15.599999,21.317753,15.599999,0.0
15.61,20.80948,15.61,0.0
15.62,20.333261,15.62,0.0
15.63,19.969992,15.63,0.0
15.639999,19.746635,15.639999,0.0
15.65,19.467653,15.65,0.0
15.66,19.272392,15.66,0.0
15.67,19.002775,15.67,0.0
15.679999,18.708372,15.679999,0.0
15.69,18.507973,15.69,0.0
15.7,18.338907,15.7,0.0
15.71,18.180286,15.71,0.0
15.719999,18.127413,15.719999,0.0
15.73,18.007523,15.73,0.0
15.74,17.865294,15.74,0.0
15.75,17.71562,15.75,0.0
15.759999,17.665728,15.759999,0.0
15.7699995,17.649097,15.7699995,0.0
15.78,17.643555,15.78,0.0
15.79,17.53944,15.79,0.0
15.799999,17.504736,15.799999,0.0
15.809999,17.493168,15.809999,0.0
15.82,17.591578,15.82,0.0
15.83,17.522116,15.83,0.0
15.839999,17.49896,15.839999,0.0
15.849999,17.593508,15.849999,0.0
15.86,17.625025,15.86,0.0
15.87,17.533264,15.87,0.0
15.88,17.604942,15.88,0.0
15.889999,17.52657,15.889999,0.0
15.9,17.500446,15.9,0.0
15.91,17.594004,15.91,0.0
15.92,17.522924,15.92,0.0
15.929999,17.396965,15.929999,0.0
15.94,17.354979,15.94,0.0
15.95,17.340982,15.95,0.0
15.96,17.234053,15.96,0.0
15.969999,17.19841,15.969999,0.0
15.98,17.18653,15.98,0.0
15.99,17.080303,15.99,0.0
16.0,17.14716,16.0,0.0
16.01,17.169445,16.01,0.0
16.02,17.176874,16.02,0.0
16.029999,17.077085,16.029999,0.0
16.039999,17.043821,16.039999,0.0
16.05,17.032734,16.05,0.0
16.06,17.029037,16.06,0.0
16.07,17.027805,16.07,0.0
16.08,17.027395,16.08,0.0
16.09,17.027258,16.09,0.0
16.1,17.027212,16.1,0.0
16.109999,17.129463,16.109999,0.0
16.119999,17.163546,16.119999,0.0
16.13,17.174908,16.13,0.0
16.14,17.178694,16.14,0.0
16.15,17.077692,16.15,0.0
16.16,17.044024,16.16,0.0
16.17,17.135067,16.17,0.0
16.18,17.165415,16.18,0.0
16.19,17.277794,16.19,0.0
16.199999,17.21299,16.199999,0.0
16.21,17.293653,16.21,0.0
16.22,17.320541,16.22,0.0
16.23,17.329504,16.23,0.0
16.24,17.33249,16.24,0.0
16.25,17.435753,16.25,0.0
16.26,17.470173,16.26,0.0
16.27,17.379381,16.27,0.0
16.279999,17.349117,16.279999,0.0
16.289999,17.33903,16.289999,0.0
16.3,17.335667,16.3,0.0
16.31,17.334545,16.31,0.0
16.32,17.231907,16.32,0.0
16.33,17.29996,16.33,0.0
16.34,17.220379,16.34,0.0
16.35,17.193851,16.35,0.0
16.359999,17.185009,16.359999,0.0
16.369999,17.079796,16.369999,0.0
16.38,17.044725,16.38,0.0
16.39,17.033035,16.39,0.0
16.4,17.029139,16.4,0.0
16.41,17.02784,16.41,0.0
16.42,17.027407,16.42,0.0
16.43,17.027262,16.43,0.0
16.44,17.027214,16.44,0.0
16.449999,17.027199,16.449999,0.0
16.46,17.027193,16.46,0.0
16.47,17.129456,16.47,0.0
16.48,17.163544,16.48,0.0
16.49,17.174906,16.49,0.0
16.5,17.178694,16.5,0.0
16.51,17.179956,16.51,0.0
16.52,17.180378,16.52,0.0
16.529999,17.180517,16.529999,0.0
16.539999,17.180565,16.539999,0.0
16.55,17.18058,16.55,0.0
16.56,16.464727,16.56,0.0
16.57,14.896659,16.57,0.0
16.58,13.24905,16.58,0.0
16.59,14.438359,16.59,0.0
16.6,19.027678,16.6,0.0
16.609999,24.443535,16.609999,0.0
16.619999,29.62358,16.619999,0.0
16.63,34.418224,16.63,0.0
16.64,38.470806,16.64,0.0
16.65,42.173775,16.65,0.0
16.66,45.351135,16.66,0.0
16.67,48.455566,16.67,0.0
16.68,51.024353,16.68,0.0
16.69,53.312332,16.69,0.0
16.699999,55.199917,16.699999,0.0
16.71,56.95403,16.71,0.0
16.72,58.66365,16.72,0.0
16.73,60.256176,16.73,0.0
16.74,61.605145,16.74,0.0
16.75,62.668392,16.75,0.0
16.76,63.636402,16.76,0.0
16.77,64.57267,16.77,0.0
16.779999,65.498344,16.779999,0.0
16.789999,66.31824,16.789999,0.0
