,"Actual",,"Model"
"Time","Value","Time","Value"
0.0,-170.1617,0.0,0.0
0.01,-170.158,0.01,0.0
0.02,-170.15875,0.02,0.0
0.03,-169.80206,0.03,0.0
0.04,-169.87512,0.04,0.0
0.049999997,-170.21669,0.049999997,0.0
0.06,-170.14674,0.06,0.0
0.07,-170.16106,0.07,0.0
0.08,-169.80159,0.08,0.0
0.089999996,-169.87521,0.089999996,0.0
0.099999994,-170.21667,0.099999994,0.0
0.11,-170.85983,0.11,0.0
0.12,-170.01501,0.12,0.0
0.13,-169.83151,0.13,0.0
0.14,-169.8691,0.14,0.0
0.14999999,-169.86139,0.14999999,0.0
0.16,-169.86298,0.16,0.0
0.17,-169.86266,0.17,0.0
0.17999999,-170.21925,0.17999999,0.0
0.19,-169.78967,0.19,0.0
0.19999999,-169.87766,0.19999999,0.0
0.21,-147.39763,0.21,0.0
0.22,-108.14758,0.22,0.0
0.22999999,-79.81969,0.22999999,0.0
0.24,-54.95935,0.24,0.0
0.25,-34.380363,0.25,0.0
0.26,-15.063707,0.26,0.0
0.26999998,3.0853376,0.26999998,0.0
0.28,20.089968,0.28,0.0
0.29,33.408634,0.29,0.0
0.29999998,45.802105,0.29999998,0.0
0.31,56.144867,0.31,0.0
0.32,66.90765,0.32,0.0
0.32999998,75.34421,0.32999998,0.0
0.34,81.456955,0.34,0.0
0.35,88.60572,0.35,0.0
0.35999998,94.98224,0.35999998,0.0
0.37,101.51692,0.37,0.0
0.38,106.33906,0.38,0.0
0.39,112.07201,0.39,0.0
0.39999998,116.49831,0.39999998,0.0
0.41,121.19223,0.41,0.0
0.42,124.1512,0.42,0.0
0.42999998,128.02553,0.42999998,0.0
0.44,130.03227,0.44,0.0
0.45,133.54161,0.45,0.0
0.45999998,135.6231,0.45999998,0.0
0.47,137.99701,0.47,0.0
0.48,141.43115,0.48,0.0
0.48999998,144.08807,0.48999998,0.0
0.5,145.7841,0.5,0.0
0.51,147.11687,0.51,0.0
0.52,149.64415,0.52,0.0
0.53,150.80667,0.53,0.0
0.53999996,152.2487,0.53999996,0.0
0.55,153.63351,0.55,0.0
0.56,155.59009,0.56,0.0
0.57,156.30945,0.57,0.0
0.58,157.28221,0.58,0.0
0.59,157.64304,0.59,0.0
0.59999996,158.68921,0.59999996,0.0
0.61,160.15509,0.61,0.0
0.62,160.97496,0.62,0.0
