,"Actual",,"Model"
"Time","Value","Time","Value"
1517.84,-110.50722,1517.84,0.0
1517.85,-110.35535,1517.85,0.0
1517.86,-110.743,1517.86,0.0
1517.87,-110.66359,1517.87,0.0
1517.88,-110.32332,1517.88,0.0
1517.89,-110.39302,1517.89,0.0
1517.9,-110.37874,1517.9,0.0
1517.9099,-110.38167,1517.9099,0.0
1517.9199,-110.38106,1517.9199,0.0
1517.9299,-110.381195,1517.9299,0.0
1517.94,-110.381165,1517.94,0.0
1517.95,-110.7377,1517.95,0.0
1517.96,-110.66467,1517.96,0.0
1517.97,-110.67964,1517.97,0.0
1517.98,-109.606964,1517.98,0.0
1517.99,-110.539734,1517.99,0.0
1518.0,-110.70523,1518.0,0.0
1518.01,-110.671326,1518.01,0.0
1518.02,-110.67827,1518.02,0.0
1518.0299,-111.38994,1518.0299,0.0
1518.0399,-111.24417,1518.0399,0.0
1518.0499,-111.27403,1518.0499,0.0
1518.0599,-110.554825,1518.0599,0.0
1518.07,-110.70213,1518.07,0.0
1518.08,-110.67197,1518.08,0.0
1518.09,-110.67815,1518.09,0.0
1518.1,-110.67688,1518.1,0.0
1518.11,-110.67714,1518.11,0.0
1518.12,-110.67708,1518.12,0.0
1518.13,-110.67709,1518.13,0.0
1518.14,-110.67709,1518.14,0.0
1518.15,-110.67709,1518.15,0.0
1518.1599,-110.32056,1518.1599,0.0
1518.1699,-110.75012,1518.1699,0.0
1518.1799,-110.66214,1518.1799,0.0
1518.19,-111.39325,1518.19,0.0
1518.2,-111.2435,1518.2,0.0
1518.21,-111.63071,1518.21,0.0
1518.22,-111.55139,1518.22,0.0
1518.23,-111.211105,1518.23,0.0
1518.24,-111.637344,1518.24,0.0
1518.25,-111.1935,1518.25,0.0
1518.26,-110.57132,1518.26,0.0
1518.27,-111.41185,1518.27,0.0
1518.2799,-110.526596,1518.2799,0.0
1518.2899,-111.421005,1518.2899,0.0
1518.2999,-110.52472,1518.2999,0.0
1518.3099,-111.42139,1518.3099,0.0
1518.32,-110.52464,1518.32,0.0
1518.33,-110.70831,1518.33,0.0
1518.34,-110.6707,1518.34,0.0
1518.35,-110.678406,1518.35,0.0
1518.36,-111.38991,1518.36,0.0
1518.37,-111.24419,1518.37,0.0
1518.38,-111.27403,1518.38,0.0
1518.39,-111.62445,1518.39,0.0
1518.4,-111.19614,1518.4,0.0
1518.4099,-111.283875,1518.4099,0.0
1518.4199,-111.2659,1518.4199,0.0
1518.4299,-111.26958,1518.4299,0.0
1518.44,-110.55574,1518.44,0.0
1518.45,-111.41504,1518.45,0.0
1518.46,-111.23903,1518.46,0.0
1518.47,-111.275085,1518.47,0.0
1518.48,-111.2677,1518.48,0.0
1518.49,-111.26921,1518.49,0.0
1518.5,-111.268906,1518.5,0.0
1518.51,-111.26897,1518.51,0.0
1518.52,-110.55586,1518.52,0.0
1518.5299,-96.08379,1518.5299,0.0
1518.5399,-69.45515,1518.5399,0.0
1518.5499,-49.594875,1518.5499,0.0
1518.5599,-31.913712,1518.5599,0.0
1518.57,-16.638546,1518.57,0.0
1518.58,-3.009822,1518.58,0.0
1518.59,9.017241,1518.59,0.0
1518.6,19.435053,1518.6,0.0
1518.61,29.062366,1518.61,0.0
1518.62,37.17143,1518.62,0.0
1518.63,45.031414,1518.63,0.0
1518.64,52.94241,1518.64,0.0
1518.65,58.0427,1518.65,0.0
1518.6599,62.598587,1518.6599,0.0
1518.6699,66.14586,1518.6699,0.0
1518.6799,71.01982,1518.6799,0.0
1518.69,73.38185,1518.69,0.0
1518.7,76.25837,1518.7,0.0
1518.71,79.58956,1518.71,0.0
1518.72,82.267586,1518.72,0.0
1518.73,84.51933,1518.73,0.0
1518.74,85.73827,1518.74,0.0
1518.75,87.72882,1518.75,0.0
1518.76,90.121376,1518.76,0.0
1518.77,91.871544,1518.77,0.0
1518.7799,92.63317,1518.7799,0.0
1518.7899,94.15734,1518.7899,0.0
1518.7999,95.52531,1518.7999,0.0
1518.8099,96.92528,1518.8099,0.0
1518.82,98.318695,1518.82,0.0
1518.83,99.1534,1518.83,0.0
1518.84,99.54248,1518.84,0.0
1518.85,101.702995,1518.85,0.0
1518.86,101.820526,1518.86,0.0
1518.87,103.476616,1518.87,0.0
1518.88,103.69747,1518.88,0.0
1518.89,104.212296,1518.89,0.0
1518.9,104.66689,1518.9,0.0
1518.9099,104.01373,1518.9099,0.0
1518.9199,105.26761,1518.9199,0.0
1518.9299,104.450745,1518.9299,0.0
1518.94,104.61805,1518.94,0.0
1518.95,105.14384,1518.95,0.0
1518.96,105.03614,1518.96,0.0
1518.97,105.618256,1518.97,0.0
